user,hotel,city,rating
user_000,Lantern Suites,New York,5
user_000,Azure Suites,Toronto,5
user_000,Summit Lodge,Vancouver,5
user_000,Vela Suites,Toronto,5
user_000,Summit Grand Hotel,New York,5
user_000,Lantern Resort,Austin,5
user_000,Harbor Grand Hotel,Austin,4
user_000,Vela Grand Hotel,Austin,3
user_000,Meridian Grand Hotel,Toronto,5
user_000,Aspen Resort,New York,5
user_000,Meridian Resort,New York,4
user_000,Monarch Inn,Toronto,5
user_000,Harbor Lodge,Vancouver,5
user_000,Meridian Suites,Chicago,3
user_001,Azure Resort,Seattle,4
user_001,Coral Inn,Chicago,4
user_001,Monarch Inn,Toronto,5
user_001,Cascade Grand Hotel,Austin,5
user_001,Lantern Resort,Austin,5
user_001,Lantern Grand Hotel,Vancouver,5
user_001,Aspen Resort,New York,4
user_001,Harbor Lodge,Vancouver,4
user_001,Meridian Resort,New York,4
user_002,Vela Resort,Chicago,4
user_002,Meridian Suites,Chicago,3
user_002,Vela Suites,Toronto,4
user_002,Lantern Resort,Austin,4
user_002,Meridian Lodge,Chicago,2
user_002,Regent Resort,Toronto,5
user_002,Summit Lodge,Vancouver,4
user_002,Azure Lodge,Vancouver,4
user_003,Harbor Suites,Austin,2
user_003,Azure Lodge,Vancouver,3
user_003,Azure Grand Hotel,Seattle,2
user_003,Lantern Grand Hotel,Vancouver,3
user_003,Vela Suites,Toronto,3
user_003,Meridian Suites,Chicago,2
user_003,Meridian Grand Hotel,Toronto,4
user_003,Meridian Resort,New York,3
user_003,Coral Resort,Toronto,1
user_003,Cascade Resort,Seattle,2
user_003,Coral Grand Hotel,New York,1
user_003,Ivy Resort,New York,4
user_004,Monarch Inn,Toronto,4
user_004,Coral Inn,Chicago,4
user_004,Lantern Resort,Austin,4
user_004,Lantern Suites,New York,5
user_004,Meridian Resort,New York,4
user_004,Azure Resort,Seattle,4
user_004,Ivy Inn,Chicago,4
user_005,Harbor Lodge,Vancouver,4
user_005,Lantern Grand Hotel,Vancouver,4
user_005,Coral Inn,Chicago,3
user_005,Coral Lodge,Chicago,4
user_005,Aspen Lodge,Austin,4
user_005,Meridian Resort,New York,3
user_005,Vela Suites,Toronto,3
user_005,Harbor Resort,Toronto,3
user_005,Monarch Inn,Toronto,4
user_005,Monarch Lodge,New York,3
user_006,Harbor Lodge,Vancouver,4
user_006,Aspen Lodge,Austin,5
user_006,Ivy Suites,Vancouver,4
user_006,Summit Suites,New York,5
user_006,Ivy Inn,Chicago,5
user_006,Meridian Resort,New York,5
user_006,Aspen Grand Hotel,Toronto,4
user_006,Lantern Inn,Austin,5
user_007,Summit Inn,Toronto,1
user_007,Monarch Suites,New York,2
user_007,Azure Inn,Vancouver,1
user_007,Coral Lodge,Chicago,2
user_007,Lantern Inn,Austin,3
user_007,Meridian Grand Hotel,Toronto,1
user_008,Aspen Resort,New York,3
user_008,Vela Lodge,New York,4
user_008,Harbor Suites,Austin,5
user_008,Azure Lodge,Vancouver,3
user_008,Harbor Lodge,Vancouver,5
user_008,Cascade Suites,Toronto,4
user_009,Vela Inn,Austin,5
user_009,Lantern Lodge,Chicago,4
user_009,Cascade Inn,Seattle,5
user_009,Regent Inn,New York,4
user_009,Ivy Grand Hotel,New York,5
user_009,Azure Suites,Toronto,4
user_009,Coral Inn,Chicago,5
user_009,Regent Suites,Vancouver,5
user_010,Vela Lodge,New York,2
user_010,Cascade Lodge,Vancouver,3
user_010,Coral Lodge,Chicago,3
user_010,Ivy Lodge,Seattle,2
user_010,Ivy Resort,New York,3
user_010,Lantern Suites,New York,3
user_010,Coral Grand Hotel,New York,1
user_010,Meridian Grand Hotel,Toronto,3
user_010,Cascade Suites,Toronto,3
user_010,Coral Resort,Toronto,3
user_010,Monarch Inn,Toronto,2
user_010,Azure Resort,Seattle,4
user_010,Meridian Suites,Chicago,2
user_010,Aspen Lodge,Austin,4
user_011,Ivy Resort,New York,2
user_011,Lantern Resort,Austin,2
user_011,Monarch Lodge,New York,3
user_011,Azure Inn,Vancouver,2
user_011,Azure Suites,Toronto,2
user_011,Summit Grand Hotel,New York,2
user_011,Vela Grand Hotel,Austin,2
user_011,Ivy Inn,Chicago,2
user_011,Azure Resort,Seattle,2
user_011,Monarch Grand Hotel,Toronto,3
user_011,Harbor Inn,Seattle,2
user_011,Harbor Suites,Austin,2
user_011,Ivy Suites,Vancouver,3
user_011,Aspen Resort,New York,3
user_011,Coral Lodge,Chicago,4
user_011,Harbor Grand Hotel,Austin,1
user_011,Meridian Grand Hotel,Toronto,2
user_011,Lantern Grand Hotel,Vancouver,3
user_011,Vela Suites,Toronto,2
user_011,Meridian Lodge,Chicago,4
